Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
0.9514331817626953,0.9679999947547913,0.18132513761520386,0.1380002796649933
0.9520722031593323,0.9684242606163025,0.18023662269115448,0.13706128299236298
0.9513556361198425,0.9684545397758484,0.1814231276512146,0.13767926394939423
0.9519251585006714,0.9684242606163025,0.18024013936519623,0.13710609078407288
0.9516684412956238,0.9686060547828674,0.18060554563999176,0.13680791854858398
0.9524224400520325,0.9685605764389038,0.17927685379981995,0.13634242117404938
0.9523422718048096,0.9688030481338501,0.17902693152427673,0.13630327582359314
0.9520614743232727,0.9685302972793579,0.17953485250473022,0.1363353133201599
0.952788770198822,0.9689545631408691,0.17724068462848663,0.13596707582473755
0.9525481462478638,0.9690454602241516,0.17750245332717896,0.13606984913349152
0.9530293941497803,0.9687575697898865,0.17635786533355713,0.13499273359775543
0.9523716568946838,0.9690909385681152,0.17711520195007324,0.13500817120075226
0.952716588973999,0.9692727327346802,0.1773613840341568,0.13503482937812805
0.9531283378601074,0.9696212410926819,0.17574480175971985,0.1345934122800827
0.9534919857978821,0.9691969752311707,0.1749040186405182,0.13407206535339355
0.9529492259025574,0.9691666960716248,0.1757642924785614,0.1351945996284485
0.9529946446418762,0.9694091081619263,0.1754407286643982,0.1336514800786972
0.9536443948745728,0.9694242477416992,0.17395013570785522,0.1342402845621109
0.9526711106300354,0.9692424535751343,0.17536072432994843,0.13509944081306458
0.9537085294723511,0.9698787927627563,0.17284062504768372,0.1334846466779709
0.9536336660385132,0.9694545269012451,0.17300701141357422,0.1333419233560562
0.9532433152198792,0.9697727560997009,0.17298904061317444,0.13278967142105103
0.9534759521484375,0.9695757627487183,0.17278344929218292,0.13235285878181458
0.9536417126655579,0.9696666598320007,0.17196208238601685,0.1318710595369339
